穴名	所属经络	定位	功效
白环俞	足太阳膀胱经	在骶部，当骶正中嵴旁开1.5寸，平第4骶后孔	调理下焦，通利二便，调经止带
百会	督脉	在头部，当前发际正中直上5寸，或两耳尖连线中点	升阳举陷，醒脑开窍，安神定志
膀胱俞	足太阳膀胱经	在骶部，当骶正中嵴旁开1.5寸，平第2骶后孔	调理膀胱，通利小便，强腰脊
胞肓	足太阳膀胱经	在臀部，平第2骶后孔，骶正中嵴旁开3寸	调理胞宫，通调冲任，强腰脊
臂臑	手阳明大肠经	在臂外侧，三角肌止点处，曲池与肩髃连线上，曲池上7寸	清热通络，疏经活络，利肩臂
秉风	手太阳小肠经	在肩胛部，岗上窝中央，天宗直上，举臂有凹陷	疏风活络，舒筋止痛
不容	足阳明胃经	在上腹部，当脐中上6寸，距前正中线2寸	和胃降逆，理气消胀
步廊	足少阴肾经	在胸部，当第5肋间隙，前正中线旁开2寸	宽胸理气，降逆止咳
承筋	足太阳膀胱经	在小腿后面，委中与承山连线上，腓肠肌肌腹中央，委中下5寸	舒筋活络，强腰脊，调理下焦
承满	足阳明胃经	在上腹部，当脐中上5寸，距前正中线2寸	和胃降逆，理气消胀
承山	足太阳膀胱经	在小腿后面正中，委中与昆仑之间，腓肠肌肌腹下出现尖角凹陷处	舒筋活络，理气止痛，调理痔疾
尺泽	手太阴肺经	在肘横纹中，肱二头肌腱桡侧凹陷处	清肺热，降逆气，和营理血
冲门	足太阴脾经	在腹股沟外侧，距耻骨联合上缘中点3.5寸，髂外动脉搏动处外侧	健脾渗湿，理气活血
次髎	足太阳膀胱经	在骶部，当髂后上棘内下方，正对第2骶后孔	调理下焦，通利二便，调经止带
大包	足太阴脾经	在侧胸部，腋中线上，当第6肋间隙处	统血健脾，宽胸理气
大肠俞	足太阳膀胱经	在腰部，当第4腰椎棘突下，旁开1.5寸	调理大肠，通调腑气，强腰脊
大赫	足少阴肾经	在下腹部，当脐中下4寸，前正中线旁开0.5寸	益肾助阳，通调冲任，调理下焦
大横	足太阴脾经	在腹中部，与脐平，距脐中4寸	健脾化湿，理气止痛
大巨	足阳明胃经	在下腹部，当脐中下2寸，距前正中线2寸	调肠胃，通调腑气，理气止痛
大杼	足太阳膀胱经	在背部，当第1胸椎棘突下，旁开1.5寸	疏风散寒，宣肺止咳，强肌表
大椎	督脉	在后正中线上，第7颈椎棘突下凹陷中	解表清热，疏风散寒，通调诸阳
带脉	足少阳胆经	在侧腹部，章门下1.8寸，第11肋骨游离端下方垂线与脐水平线交点	调经止带，约束诸经，理气止痛
胆俞	足太阳膀胱经	在背部，当第10胸椎棘突下，旁开1.5寸	利胆疏肝，和胃降逆，清化热邪
定喘	经外奇穴	在背部，第7颈椎棘突下，后正中线旁开0.5寸	止咳平喘，宣肺化痰，通调气机
督俞	足太阳膀胱经	在背部，当第6胸椎棘突下，旁开1.5寸	宽胸降逆，宁心安神，调理气机
犊鼻	足阳明胃经	屈膝，在膝部，髌骨与髌韧带外侧凹陷中	通经活络，消肿止痛，疏利关节
二间	手阳明大肠经	微握拳，当手食指本节前桡侧凹陷中	清热解表，通调腑气，利咽消肿
肺俞	足太阳膀胱经	在背部，当第3胸椎棘突下，旁开1.5寸	调补肺气，止咳平喘，疏风解表
丰隆	足阳明胃经	在小腿前外侧，外踝尖上8寸，条口外，距胫骨前缘二横指	化痰开窍，清热通络，和胃降逆
风府	督脉	在项部，当后发际正中直上1寸，枕外隆凸直下，两侧斜方肌之间凹陷	疏风解表，清头明目，通利官窍
风门	足太阳膀胱经	在背部，当第2胸椎棘突下，旁开1.5寸	疏风解表，宣肺止咳，强肌表
风市	足少阳胆经	在大腿外侧部中线上，腘横纹上7寸，或直立垂手中指尖处	疏风活络，强筋壮骨，消肿止痛
伏兔	足阳明胃经	在大腿前面，髂前上棘与髌底外侧端连线上，髌底上6寸	祛风除湿，通经活络，消肿止痛
浮郄	足太阳膀胱经	在腘横纹外侧端，委阳上1寸，股二头肌腱内侧	舒筋活络，清化热邪，调理下焦
府舍	足太阴脾经	在下腹部，当脐中下4寸，冲门上方0.7寸，距前正中线4寸	健脾理气，散结止痛，调理下焦
附分	足太阳膀胱经	在背部，当第2胸椎棘突下，旁开3寸	疏风散寒，强肌表，舒筋活络
腹哀	足太阴脾经	在上腹部，当脐中上3寸，距前正中线4寸	健脾和胃，理气止痛
腹结	足太阴脾经	大横下1.3寸，距前正中线4寸	健脾理气，散结止痛
腹通谷	足少阴肾经	在上腹部，当脐中上5寸，前正中线旁开0.5寸	和胃降逆，理气消胀，调理下焦
肝俞	足太阳膀胱经	在背部，当第9胸椎棘突下，旁开1.5寸	疏肝利胆，明目，理气止痛
膏肓	足太阳膀胱经	在背部，当第4胸椎棘突下，旁开3寸	补虚益损，宣肺止咳，调理虚劳
膈关	足太阳膀胱经	在背部，当第7胸椎棘突下，旁开3寸	宽胸降逆，理气和胃，调理气机
膈俞	足太阳膀胱经	在背部，当第7胸椎棘突下，旁开1.5寸	宽胸降逆，和血理气，调理气机
关门	足阳明胃经	在上腹部，当脐中上3寸，距前正中线2寸	调理肠胃，通调腑气，理气止痛
关元	任脉	在下腹部，前正中线上，当脐中下3寸	培元固本，补益下焦，回阳固脱
关元俞	足太阳膀胱经	在腰部，当第5腰椎棘突下，旁开1.5寸	调理下焦，强腰脊，通调冲任
归来	足阳明胃经	在下腹部，当脐中下4寸，距前正中线2寸	调理冲任，通调下焦，理气止痛
合谷	手阳明大肠经	在手背，第1、2掌骨间，当第2掌骨桡侧中点	疏风解表，清热止痛，通调腑气，通经活络
合阳	足太阳膀胱经	在小腿后面，委中与承山连线上，委中下2寸	舒筋活络，调理下焦，强腰脊
横骨	足少阴肾经	在下腹部，当脐中下5寸，前正中线旁开0.5寸	通调下焦，调理冲任，理气止痛
后顶	督脉	在头部，当后发际正中直上5.5寸	清头明目，安神定志，通利官窍
华盖	任脉	在胸部，当前正中线上，平第1肋间	宽胸理气，止咳平喘，降逆和胃
滑肉门	足阳明胃经	在上腹部，当脐中上1寸，距前正中线2寸	和胃降逆，理气消胀，调理肠胃
环跳	足少阳胆经	在股外侧部，股骨大转子最凸点与骶管裂孔连线外1/3与中1/3交点	祛风除湿，通经活络，强腰髋
肓门	足太阳膀胱经	在腰部，当第1腰椎棘突下，旁开3寸	理气和胃，调理中焦，强腰脊
肓俞	足少阴肾经	在腹中部，当脐中旁开0.5寸	调理中焦，和营理血，通调下焦
会阳	足太阳膀胱经	在骶部，尾骨端旁开0.5寸	通调下焦，调理二便，通利前后阴
会宗	手少阳三焦经	在前臂背侧，腕背横纹上3寸，支沟尺侧，尺骨桡侧缘	清化热邪，通利三焦，疏经活络
魂门	足太阳膀胱经	在背部，当第9胸椎棘突下，旁开3寸	疏肝利胆，宽胸降逆，调理气机
脊中	督脉	在背部，当后正中线上，第11胸椎棘突下凹陷中	健脾和胃，强腰脊，调理中焦
夹脊1	经外奇穴（夹脊）	第1胸椎棘突下旁开0.5寸	强腰脊，调理相应节段脏腑功能
夹脊2	经外奇穴（夹脊）	第2胸椎棘突下旁开0.5寸	强腰脊，调理相应节段脏腑功能
夹脊3	经外奇穴（夹脊）	第3胸椎棘突下旁开0.5寸	强腰脊，调理相应节段脏腑功能
夹脊4	经外奇穴（夹脊）	第4胸椎棘突下旁开0.5寸	强腰脊，调理相应节段脏腑功能
夹脊5	经外奇穴（夹脊）	第5胸椎棘突下旁开0.5寸	强腰脊，调理相应节段脏腑功能
夹脊6	经外奇穴（夹脊）	第6胸椎棘突下旁开0.5寸	强腰脊，调理相应节段脏腑功能
夹脊7	经外奇穴（夹脊）	第7胸椎棘突下旁开0.5寸	强腰脊，调理相应节段脏腑功能
夹脊8	经外奇穴（夹脊）	第8胸椎棘突下旁开0.5寸	强腰脊，调理相应节段脏腑功能
夹脊9	经外奇穴（夹脊）	第9胸椎棘突下旁开0.5寸	强腰脊，调理相应节段脏腑功能
夹脊10	经外奇穴（夹脊）	第10胸椎棘突下旁开0.5寸	强腰脊，调理相应节段脏腑功能
夹脊11	经外奇穴（夹脊）	第11胸椎棘突下旁开0.5寸	强腰脊，调理相应节段脏腑功能
夹脊12	经外奇穴（夹脊）	第12胸椎棘突下旁开0.5寸	强腰脊，调理相应节段脏腑功能
夹脊13	经外奇穴（夹脊）	第1腰椎棘突下旁开0.5寸	强腰脊，调理相应节段脏腑功能
夹脊14	经外奇穴（夹脊）	第2腰椎棘突下旁开0.5寸	强腰脊，调理相应节段脏腑功能
夹脊15	经外奇穴（夹脊）	第3腰椎棘突下旁开0.5寸	强腰脊，调理相应节段脏腑功能
夹脊16	经外奇穴（夹脊）	第4腰椎棘突下旁开0.5寸	强腰脊，调理相应节段脏腑功能
夹脊17	经外奇穴（夹脊）	第5腰椎棘突下旁开0.5寸	强腰脊，调理相应节段脏腑功能
肩井	足少阳胆经	在肩上，前直乳中，大椎与肩峰端连线中点	祛风清热，活络消肿，通调气机
肩髎	手少阳三焦经	在肩部，肩髃后方，臂外展时肩峰后下方凹陷处	祛风通络，舒筋活络，利肩臂
肩臑	手阳明大肠经	在臂外侧，三角肌上，臂外展或向前平伸时肩峰前下方向凹陷	疏风活络，通利关节，舒筋止痛
肩外俞	手太阳小肠经	在背部，当第1胸椎棘突下，旁开3寸	疏风散寒，舒筋活络，利肩背
肩贞	手太阳小肠经	在肩关节后下方，臂内收时腋后纹头上1寸	舒筋活络，通利关节，利肩臂
肩中俞	手太阳小肠经	在背部，当第7颈椎棘突下，旁开2寸	疏风散寒，宣肺止咳，利肩背
建里	任脉	在上腹部，前正中线上，当脐中上3寸	和胃降逆，调理中焦，理气消胀
解溪	足阳明胃经	在足背与小腿交界处横纹中央凹陷，拇长伸肌腱与趾长伸肌腱之间	清胃化痰，舒筋活络，镇静安神
筋缩	督脉	在背部，当后正中线上，第9胸椎棘突下凹陷中	舒筋缓急，强腰脊，调理肝筋
经渠	手太阴肺经	在前臂掌面桡侧，桡骨茎突与桡动脉之间凹陷，腕横纹上1寸	宣肺理气，止咳平喘，通利咽喉
鸠尾	任脉	在上腹部，前正中线上，当胸剑结合部下1寸	和胃降逆，宽胸理气，宁心安神
巨阙	任脉	在上腹部，前正中线上，当脐中上6寸	和胃降逆，宁心安神，宽胸理气
厥阴俞	足太阳膀胱经	在背部，当第4胸椎棘突下，旁开1.5寸	宽胸理气，宁心安神，调理心包
孔最	手太阴肺经	在前臂掌面桡侧，尺泽与太渊连线上，腕横纹上7寸	清泻肺热，降逆气，调理血络
库房	足阳明胃经	在胸部，当第1肋间隙，距前正中线4寸	宽胸理气，降逆止咳，调理气机
梁门	足阳明胃经	在上腹部，当脐中上4寸，距前正中线2寸	和胃降逆，理气消胀，调理肠胃
梁丘	足阳明胃经	屈膝，大腿前面，髂前上棘与髌底外侧端连线上，髌底上2寸	清热通络，疏经活络，调理脾胃
列缺	手太阴肺经	在前臂桡侧缘，桡骨茎突上方，腕横纹上1.5寸	宣肺解表，通调任督，通经活络
灵台	督脉	在背部，当后正中线上，第6胸椎棘突下凹陷中	宽胸降逆，止咳平喘，宁心安神
灵墟	足少阴肾经	在胸部，当第3肋间隙，前正中线旁开2寸	宽胸理气，降逆止咳，调理气机
命门	督脉	在腰部，当后正中线上，第2腰椎棘突下凹陷中	补肾助阳，强腰脊，温阳固脱
脑户	督脉	在头部，后发际正中直上2.5寸，风府上1.5寸，枕外隆凸上缘凹陷	清头明目，通利官窍，平肝潜阳
臑会	手少阳三焦经	在臂外侧，肘尖与肩髎连线上，肩髎下3寸，三角肌后下缘	舒筋活络，通利关节，利肩臂
臑俞	手太阳小肠经	在肩部，当腋后纹头直上，肩胛冈下缘凹陷中	舒筋活络，利肩臂，通调气机
脾俞	足太阳膀胱经	在背部，当第11胸椎棘突下，旁开1.5寸	健脾化湿，统血，调理中焦
偏历	手阳明大肠经	屈肘，前臂背面桡侧，阳溪与曲池连线上，腕横纹上3寸	清热通络，疏经活络，通调水道
魄户	足太阳膀胱经	在背部，当第3胸椎棘突下，旁开3寸	宣肺止咳，宽胸理气，调理气机
期门	足厥阴肝经	在胸部，当乳头直下，第6肋间隙，前正中线旁开4寸	疏肝理气，和胃降逆，调理气机
气冲	足阳明胃经	在腹股沟稍上方，当脐中下5寸，距前正中线2寸	调理冲任，通调下焦，理气活血
气海	任脉	在下腹部，前正中线上，当脐中下1.5寸	益气助阳，调经固经，培元固本
气海俞	足太阳膀胱经	在腰部，当第3腰椎棘突下，旁开1.5寸	调理下焦，强腰脊，通调冲任
气户	足阳明胃经	在胸部，当锁骨中点下缘，距前正中线4寸	宽胸理气，降逆止咳，调理气机
气穴	足少阴肾经	在下腹部，当脐中下3寸，前正中线旁开0.5寸	调理冲任，通利下焦，理气止痛
前顶	督脉	在头部，当前发际正中直上3.6寸	清头明目，安神定志，通利官窍
强间	督脉	在头部，当后发际正中直上4寸	清头明目，安神定志，平肝潜阳
清冷渊	手少阳三焦经	在臂外侧，屈肘时肘尖直上2寸	清化热邪，通利关节，舒筋活络
曲池	手阳明大肠经	在肘横纹外侧端，屈肘，尺泽与肱骨外上髁连线中点	清热解表，疏经活络，调和营血
曲骨	任脉	在下腹部，当前正中线上，耻骨联合上缘中点	调理下焦，通利小便，调经止带
曲垣	手太阳小肠经	在肩胛部，岗上窝内侧端，臑俞与第2胸椎棘突连线中点	舒筋活络，利肩背，通调气机
缺盆	足阳明胃经	在锁骨上窝中央，距前正中线4寸	宽胸理气，降逆止咳，调理气机
日月	足少阳胆经	在上腹部，当乳头直下，第7肋间隙，前正中线旁开4寸	疏肝利胆，和胃降逆，理气止痛
乳根	足阳明胃经	在胸部，当乳头直下，乳房根部，第5肋间隙，距前正中线4寸	宽胸理气，通乳散结，调理气机
乳中	足阳明胃经	在胸部，当第4肋间隙，乳头中央，距前正中线4寸	通乳散结，宽胸理气，调理气机
三间	手阳明大肠经	微握拳，手食指本节后桡侧凹陷处	清热利咽，通调腑气，疏经活络
三焦俞	足太阳膀胱经	在腰部，当第1腰椎棘突下，旁开1.5寸	通调三焦，利水渗湿，强腰脊
三阳络	手少阳三焦经	在前臂背侧，腕背横纹上4寸，尺骨与桡骨之间	通利三焦，舒筋活络，疏经止痛
三阴交	足太阴脾经	在小腿内侧，当足内踝尖上3寸，胫骨内侧缘后方	健脾化湿，调补肝肾，调经固经
膻中	任脉	在胸部，当前正中线上，平第4肋间，两乳头连线中点	宽胸理气，宁心安神，通乳散结
商曲	足少阴肾经	在上腹部，当脐中上2寸，前正中线旁开0.5寸	调理中焦，和营理血，理气止痛
商阳	手阳明大肠经	在手食指末节桡侧，距指甲角0.1寸	清热解表，通调腑气，利咽消肿
上巨虚	足阳明胃经	在小腿前外侧，犊鼻下6寸，距胫骨前缘一横指	调理肠胃，通调腑气，通经活络
上廉	手阳明大肠经	在前臂背面桡侧，阳溪与曲池连线上，肘横纹下3寸	调理肠胃，通调腑气，疏经活络
上髎	足太阳膀胱经	在骶部，当髂后上棘与中线之间，正对第1骶后孔	调理下焦，通利二便，调经止带
上脘	任脉	在上腹部，前正中线上，当脐中上5寸	和胃降逆，宽胸理气，调理中焦
上星	督脉	在头部，当前发际正中直上1寸	清头明目，安神定志，通利官窍
少商	手太阴肺经	在手拇指末节桡侧，距指甲角0.1寸	清肺利咽，开窍醒神，泻热解表
身柱	督脉	在背部，当后正中线上，第3胸椎棘突下凹陷中	宣肺止咳，宁心安神，强肌表
神藏	足少阴肾经	在胸部，当第2肋间隙，前正中线旁开2寸	宽胸理气，降逆止咳，宁心安神
神道	督脉	在背部，当后正中线上，第5胸椎棘突下凹陷中	宁心安神，宽胸降逆，止咳平喘
神封	足少阴肾经	在胸部，当第4肋间隙，前正中线旁开2寸	宽胸理气，降逆止咳，宁心安神
神阙	任脉	在腹中部，脐中央	回阳固脱，培元固本，理气和胃
神堂	足太阳膀胱经	在背部，当第5胸椎棘突下，旁开3寸	宁心安神，宽胸降逆，止咳平喘
神庭	督脉	在头部，当前发际正中直上0.5寸	清头明目，安神定志，通利官窍
肾俞	足太阳膀胱经	在腰部，当第2腰椎棘突下，旁开1.5寸	益肾助阳，强腰脊，调理下焦
石关	足少阴肾经	在上腹部，当脐中上3寸，前正中线旁开0.5寸	调理中焦，和营理血，通调下焦
石门	任脉	在下腹部，前正中线上，当脐中下2寸	调理下焦，通调冲任，理气止痛
食窦	足太阴脾经	在胸外侧部，当第5肋间隙，距前正中线6寸	健脾和胃，理气降逆，宽胸理气
手三里	手阳明大肠经	在前臂背面桡侧，阳溪与曲池连线上，肘横纹下2寸	调理肠胃，疏经活络，清热止痛
手五里	手阳明大肠经	在臂外侧，曲池与肩髃连线上，曲池上3寸	清热通络，疏经活络，利肩臂
水道	足阳明胃经	在下腹部，当脐中下3寸，距前正中线2寸	通调水道，调理下焦，理气止痛
水分	任脉	在上腹部，前正中线上，当脐中上1寸	通调水道，理气消胀，调理中焦
四渎	手少阳三焦经	在前臂背侧，阳池与肘尖连线上，肘尖下5寸，尺骨与桡骨之间	清化热邪，通利三焦，疏经活络
四满	足少阴肾经	在下腹部，当脐中下2寸，前正中线旁开0.5寸	调理冲任，通利下焦，理气止痛
太溪	足少阴肾经	在足内侧，内踝后方，当内踝尖与跟腱之间凹陷	益肾滋阴，强腰脊，清虚热
太乙	足阳明胃经	在上腹部，当脐中上2寸，距前正中线2寸	和胃降逆，理气消胀，调理肠胃
太渊	手太阴肺经	在腕掌侧横纹桡侧，桡动脉搏动处	宣肺止咳，通脉理血，和营止汗
陶道	督脉	在背部，当后正中线上，第1胸椎棘突下凹陷中	解表清热，宣肺止咳，强肌表
天池	手厥阴心包经	在胸部，当第4肋间隙，乳头外1寸，前正中线旁开5寸	宽胸理气，宁心安神，通乳散结
天府	手太阴肺经	在臂内侧面，肱二头肌桡侧缘，腋前纹头下3寸	宣肺理气，降逆止咳，疏经活络
天府穴	手太阴肺经	在臂内侧面，肱二头肌桡侧缘，腋前纹头下3寸	宣肺理气，降逆止咳，疏经活络
天井	手少阳三焦经	在臂外侧，屈肘时肘尖直上1寸凹陷处	清化热邪，通利关节，舒筋活络
天枢	足阳明胃经	在腹中部，平脐中，距脐中2寸	调理肠胃，通调腑气，理气止痛
天突	任脉	在颈部，当前正中线上胸骨上窝中央	宣肺止咳，降逆利咽，通利气机
天溪	足太阴脾经	在胸外侧部，当第4肋间隙，距前正中线6寸	宽胸理气，通乳散结，调理气机
天柱	足太阳膀胱经	在项部大筋外缘之后发际凹陷中，约当后发际正中旁开1.3寸	疏风解表，清头明目，通利官窍
天宗	手太阳小肠经	在肩胛部，当岗下窝中央凹陷处，与第4胸椎相平	舒筋活络，通乳散结，利肩背
条口	足阳明胃经	在小腿前外侧，犊鼻下8寸，距胫骨前缘一横指	调理肠胃，疏经活络，通经止痛
外关	手少阳三焦经	在前臂背侧，阳池与肘尖连线上，腕背横纹上2寸，尺骨与桡骨之间	疏风解表，清化热邪，通利关节
外陵	足阳明胃经	在下腹部，当脐中下1寸，距前正中线2寸	调理肠胃，通调腑气，理气止痛
维道	足少阳胆经	在侧腹部，当髂前上棘的前下方，五枢前下0.5寸	调经止带，调理下焦，理气止痛
委阳	足太阳膀胱经	在腘横纹外侧端，当股二头肌腱的内侧	舒筋活络，通利三焦，调理下焦
委中	足太阳膀胱经	在腘横纹中点，当股二头肌腱与半腱肌肌腱中间	舒筋活络，清热凉血，调理下焦
胃仓	足太阳膀胱经	在背部，当第12胸椎棘突下，旁开3寸	理气和胃，调理中焦，强腰脊
胃俞	足太阳膀胱经	在背部，当第12胸椎棘突下，旁开1.5寸	理气和胃，调理中焦，强腰脊
温溜	手阳明大肠经	屈肘，前臂背面桡侧，阳溪与曲池连线上，腕横纹上5寸	清热通络，疏经活络，调理血络
屋翳	足阳明胃经	在胸部，当第2肋间隙，距前正中线4寸	宽胸理气，降逆止咳，通乳散结
五枢	足少阳胆经	在侧腹部，当髂前上棘的前方，横平脐下3寸	调经止带，调理下焦，理气止痛
侠白	手太阴肺经	在臂内侧面，肱二头肌桡侧缘，腋前纹头下4寸，或肘横纹上5寸	宣肺理气，降逆止咳，疏经活络
下廉	手阳明大肠经	在前臂背面桡侧，阳溪与曲池连线上，肘横纹下4寸	调理肠胃，疏经活络，清热止痛
下髎	足太阳膀胱经	在骶部，当中髎下内方，正对第4骶后孔	调理下焦，通利二便，调经止带
下脘	任脉	在上腹部，前正中线上，当脐中上2寸	和胃降逆，理气消胀，调理中焦
消泺	手少阳三焦经	在臂外侧，清冷渊与臑会连线中点	清化热邪，舒筋活络，利肩臂
小肠俞	足太阳膀胱经	在骶部，当骶正中嵴旁开1.5寸，平第1骶后孔	调理小肠，通调下焦，强腰脊
小海	手太阳小肠经	在肘内侧，当尺骨鹰嘴与肱骨内上髁之间凹陷	舒筋活络，清化热邪，利肩臂
心俞	足太阳膀胱经	在背部，当第5胸椎棘突下，旁开1.5寸	宁心安神，宽胸降逆，调理气机
囟会	督脉	在头部，当前发际正中直上2寸	清头明目，安神定志，通利官窍
胸乡	足太阴脾经	在胸外侧部，当第3肋间隙，距前正中线6寸	宽胸理气，通乳散结，调理气机
悬枢	督脉	在腰部，当后正中线上，第1腰椎棘突下凹陷中	强腰脊，调理中焦，通调下焦
璇玑	任脉	在胸部，当前正中线上，天突下1寸	宽胸理气，降逆止咳，通利咽喉
血海	足太阴脾经	屈膝，在大腿内侧，髌底内侧端上2寸，股四头肌内侧头隆起处	调经统血，健脾化湿，清热凉血
哑门	督脉	在项部，当后发际正中直上0.5寸	开窍醒神，清头明目，通利官窍
阳纲	足太阳膀胱经	在背部，当第10胸椎棘突下，旁开3寸	理气和胃，疏肝利胆，调理中焦
阳陵泉	足少阳胆经	在小腿外侧，当腓骨小头前下方凹陷处	疏肝利胆，舒筋活络，强筋壮骨
阳溪	手阳明大肠经	在腕背横纹桡侧，手拇指向上翘时，拇短伸肌腱与拇长伸肌腱之间凹陷	清热散风，通调腑气，疏经活络
养老	手太阳小肠经	在前臂背面尺侧，当尺骨小头近端桡侧凹缘中	明目舒筋，调理血络，利肩臂
腰眼	经外奇穴	在腰部，第4腰椎棘突下，后正中线旁开约3.5寸凹陷中	强腰益肾，通经活络，调理下焦
腰阳关	督脉	在腰部，当后正中线上，第4腰椎棘突下凹陷中	强腰脊，通调下焦，温阳散寒
譩譆	足太阳膀胱经	在背部，当第6胸椎棘突下，旁开3寸	宽胸降逆，宁心安神，调理气机
意舍	足太阳膀胱经	在背部，当第11胸椎棘突下，旁开3寸	健脾和胃，宽胸理气，调理中焦
阴都	足少阴肾经	在上腹部，当脐中上4寸，前正中线旁开0.5寸	调理中焦，和营理血，理气止痛
阴交	任脉	在下腹部，前正中线上，当脐中下1寸	调理下焦，通调冲任，理气止痛
阴市	足阳明胃经	在大腿前面，髂前上棘与髌底外侧端连线上，髌底上3寸	通经活络，舒筋止痛，调理下焦
膺窗	足阳明胃经	在胸部，当第3肋间隙，距前正中线4寸	宽胸理气，通乳散结，降逆止咳
涌泉	足少阴肾经	在足底部，卷足时足前部凹陷处，约当第2、3趾缝纹头端与足跟连线前1/3交点	开窍醒神，滋肾清热，降逆平喘
幽门	足少阴肾经	在上腹部，当脐中上6寸，前正中线旁开0.5寸	和胃降逆，理气消胀，调理中焦
鱼际	手太阴肺经	在手拇指本节后凹陷处，约当第1掌骨中点桡侧，赤白肉际	清肺利咽，散瘀退热，通经活络
俞府	足少阴肾经	在胸部，当锁骨下缘，前正中线旁开2寸	宽胸理气，降逆止咳，调理气机
玉堂	任脉	在胸部，当前正中线上，平第3肋间	宽胸理气，降逆止咳，宁心安神
玉枕	足太阳膀胱经	在后头部，当后发际正中直上2.5寸，旁开1.3寸平枕外隆凸上缘凹陷	清头明目，通利官窍，疏风解表
彧中	足少阴肾经	在胸部，当第1肋间隙，前正中线旁开2寸	宽胸理气，降逆止咳，调理气机
渊腋	足少阳胆经	在侧胸部，举臂，当腋中线上，腋下3寸，第4肋间隙中	宽胸理气，通乳散结，调理气机
云门	手太阴肺经	在胸外侧部，肩胛骨喙突上方，锁骨下窝凹陷处，距前正中线6寸	宣肺理气，止咳平喘，通乳散结
章门	足厥阴肝经	在侧腹部，当第11肋游离端的下方	疏肝健脾，理气止痛，调和中焦
辄筋	足少阳胆经	在侧胸部，渊腋前1寸，平乳头，第4肋间隙中	宽胸理气，疏肝利胆，调理气机
支沟	手少阳三焦经	在前臂背侧，阳池与肘尖连线上，腕背横纹上3寸，尺骨与桡骨之间	清化热邪，通利三焦，疏经活络
支正	手太阳小肠经	在前臂背面尺侧，阳谷与小海连线上，腕背横纹上5寸	清化热邪，舒筋活络，调理血络
至阳	督脉	在背部，当后正中线上，第7胸椎棘突下凹陷中	温阳散寒，宽胸降逆，强腰脊
志室	足太阳膀胱经	在腰部，当第2腰椎棘突下，旁开3寸	益肾助阳，强腰脊，调理下焦
秩边	足太阳膀胱经	在臀部，平第4骶后孔，骶正中嵴旁开3寸	调理下焦，通利二便，强腰髋
中渎	足少阳胆经	在大腿外侧，风市下2寸，或腘横纹上5寸，股外肌与股二头肌之间	通利关节，舒筋活络，调理下焦
中府	手太阴肺经	在胸外侧部，云门下1寸，平第一肋间隙处，距前正中线6寸	宣肺理气，止咳平喘，调理气机
中极	任脉	在下腹部，前正中线上，当脐中下4寸	调理下焦，通利小便，调经止带
中髎	足太阳膀胱经	在骶部，当次髎下内方，正对第3骶后孔	调理下焦，通利二便，调经止带
中膂俞	足太阳膀胱经	在骶部，当骶正中嵴旁开1.5寸，平第3骶后孔	调理下焦，强腰脊，通利二便
中枢	督脉	在背部，当后正中线上，第10胸椎棘突下凹陷中	和胃降逆，强腰脊，调理中焦
中庭	任脉	在胸部，当前正中线上，平第5肋间，即胸剑结合部	宽胸理气，降逆和胃，调理中焦
中脘	任脉	在上腹部，前正中线上，当脐中上4寸	和胃降逆，健脾化湿，理气消胀
中注	足少阴肾经	在下腹部，当脐中下1寸，前正中线旁开0.5寸	调理冲任，通利下焦，理气止痛
周荣	足太阴脾经	在胸外侧部，当第2肋间隙，距前正中线6寸	宽胸理气，降逆止咳，调理气机
紫宫	任脉	在胸部，当前正中线上，平第2肋间	宽胸理气，降逆止咳，宁心安神
足三里	足阳明胃经	在小腿前外侧，犊鼻下3寸，距胫骨前缘一横指	调理脾胃，补中益气，通经活络，扶正祛邪
